task_file,concept_group,task_number,is_minimal_task,test_input_index,humans_solved,humans_failed,human_attempts,human_accuracy,kaggle_first_place_correct,kaggle_second_place_correct,gpt4_temp0_correct,gpt4_temp05_correct,n_machine_solvers_correct,human_minus_best_machine
AboveBelow1.json,AboveBelow,1,0,0,8,0,8,1.0,1,0,1,1,3,0.0
AboveBelow1.json,AboveBelow,1,0,1,7,1,8,0.875,1,1,1,1,4,-0.125
AboveBelow1.json,AboveBelow,1,0,2,7,1,8,0.875,1,0,1,1,3,-0.125
AboveBelow10.json,AboveBelow,10,0,0,8,0,8,1.0,1,1,0,1,3,0.0
AboveBelow10.json,AboveBelow,10,0,1,8,1,9,0.8889,1,1,0,0,2,-0.1111
AboveBelow10.json,AboveBelow,10,0,2,8,1,9,0.8889,1,0,1,1,3,-0.1111
AboveBelow2.json,AboveBelow,2,0,0,4,4,8,0.5,1,0,0,1,2,-0.5
AboveBelow2.json,AboveBelow,2,0,1,8,0,8,1.0,1,1,0,0,2,0.0
AboveBelow2.json,AboveBelow,2,0,2,3,10,13,0.2308,1,0,0,0,1,-0.7692
AboveBelow3.json,AboveBelow,3,0,0,8,0,8,1.0,0,0,0,0,0,1.0
AboveBelow3.json,AboveBelow,3,0,1,9,0,9,1.0,0,0,1,1,2,0.0
AboveBelow3.json,AboveBelow,3,0,2,10,0,10,1.0,1,0,0,1,2,0.0
AboveBelow4.json,AboveBelow,4,0,0,8,0,8,1.0,0,0,0,0,0,1.0
AboveBelow4.json,AboveBelow,4,0,1,8,0,8,1.0,0,0,0,0,0,1.0
AboveBelow4.json,AboveBelow,4,0,2,8,0,8,1.0,0,0,0,0,0,1.0
AboveBelow5.json,AboveBelow,5,0,0,9,1,10,0.9,1,0,0,0,1,-0.1
AboveBelow5.json,AboveBelow,5,0,1,8,0,8,1.0,1,0,0,0,1,0.0
AboveBelow5.json,AboveBelow,5,0,2,7,3,10,0.7,1,0,0,0,1,-0.3
AboveBelow6.json,AboveBelow,6,0,0,6,2,8,0.75,1,1,0,1,3,-0.25
AboveBelow6.json,AboveBelow,6,0,1,6,2,8,0.75,1,1,0,0,2,-0.25
AboveBelow6.json,AboveBelow,6,0,2,10,1,11,0.9091,1,1,0,0,2,-0.0909
AboveBelow7.json,AboveBelow,7,0,0,9,0,9,1.0,0,0,0,0,0,1.0
AboveBelow7.json,AboveBelow,7,0,1,8,0,8,1.0,0,0,0,0,0,1.0
AboveBelow7.json,AboveBelow,7,0,2,8,0,8,1.0,0,0,0,0,0,1.0
AboveBelow8.json,AboveBelow,8,0,0,10,0,10,1.0,1,0,0,0,1,0.0
AboveBelow8.json,AboveBelow,8,0,1,8,0,8,1.0,1,0,1,1,3,0.0
AboveBelow8.json,AboveBelow,8,0,2,8,0,8,1.0,0,0,0,0,0,1.0
AboveBelow9.json,AboveBelow,9,0,0,8,0,8,1.0,1,1,1,1,4,0.0
AboveBelow9.json,AboveBelow,9,0,1,8,0,8,1.0,1,1,0,0,2,0.0
AboveBelow9.json,AboveBelow,9,0,2,7,1,8,0.875,1,1,0,0,2,-0.125
AboveBelowMinimal.json,AboveBelow,,1,0,24,0,24,1.0,1,1,1,1,4,0.0
AboveBelowMinimal.json,AboveBelow,,1,1,25,0,25,1.0,1,1,1,1,4,0.0
AboveBelowMinimal.json,AboveBelow,,1,2,24,1,25,0.96,1,1,1,1,4,-0.04
Center1.json,Center,1,0,0,8,0,8,1.0,1,1,1,1,4,0.0
Center1.json,Center,1,0,1,6,2,8,0.75,0,0,0,0,0,0.75
Center1.json,Center,1,0,2,6,2,8,0.75,0,0,0,0,0,0.75
Center10.json,Center,10,0,0,10,0,10,1.0,1,0,1,0,2,0.0
Center10.json,Center,10,0,1,8,0,8,1.0,1,0,0,0,1,0.0
Center10.json,Center,10,0,2,8,0,8,1.0,1,1,0,0,2,0.0
Center2.json,Center,2,0,0,7,1,8,0.875,1,0,1,1,3,-0.125
Center2.json,Center,2,0,1,8,0,8,1.0,1,0,0,0,1,0.0
Center2.json,Center,2,0,2,9,0,9,1.0,0,0,1,1,2,0.0
Center3.json,Center,3,0,0,8,0,8,1.0,1,0,1,1,3,0.0
Center3.json,Center,3,0,1,8,0,8,1.0,0,0,0,0,0,1.0
Center3.json,Center,3,0,2,7,1,8,0.875,0,1,0,0,1,-0.125
Center4.json,Center,4,0,0,8,0,8,1.0,1,1,1,1,4,0.0
Center4.json,Center,4,0,1,9,0,9,1.0,0,0,0,0,0,1.0
Center4.json,Center,4,0,2,8,0,8,1.0,0,0,0,0,0,1.0
Center5.json,Center,5,0,0,6,2,8,0.75,1,0,0,1,2,-0.25
Center5.json,Center,5,0,1,8,0,8,1.0,1,0,0,0,1,0.0
Center5.json,Center,5,0,2,9,0,9,1.0,1,0,0,0,1,0.0
Center6.json,Center,6,0,0,10,0,10,1.0,1,0,0,0,1,0.0
Center6.json,Center,6,0,1,8,0,8,1.0,0,0,0,0,0,1.0
Center6.json,Center,6,0,2,7,1,8,0.875,0,0,0,0,0,0.875
Center7.json,Center,7,0,0,7,2,9,0.7778,1,0,1,1,3,-0.2222
Center7.json,Center,7,0,1,8,0,8,1.0,1,0,1,1,3,0.0
Center7.json,Center,7,0,2,7,1,8,0.875,0,0,1,1,2,-0.125
Center8.json,Center,8,0,0,8,0,8,1.0,0,0,0,0,0,1.0
Center8.json,Center,8,0,1,8,0,8,1.0,0,0,0,0,0,1.0
Center8.json,Center,8,0,2,8,0,8,1.0,0,0,0,0,0,1.0
Center9.json,Center,9,0,0,8,0,8,1.0,1,1,1,0,3,0.0
Center9.json,Center,9,0,1,7,1,8,0.875,0,0,0,0,0,0.875
Center9.json,Center,9,0,2,7,1,8,0.875,0,1,0,1,2,-0.125
CenterMinimal.json,Center,,1,0,24,0,24,1.0,1,0,0,1,2,0.0
CenterMinimal.json,Center,,1,1,15,0,15,1.0,1,0,0,0,1,0.0
CenterMinimal.json,Center,,1,2,32,0,32,1.0,1,0,0,0,1,0.0
CleanUp1.json,CleanUp,1,0,0,9,1,10,0.9,0,1,0,0,1,-0.1
CleanUp1.json,CleanUp,1,0,1,8,0,8,1.0,1,1,1,1,4,0.0
CleanUp1.json,CleanUp,1,0,2,8,0,8,1.0,0,1,0,0,1,0.0
CleanUp10.json,CleanUp,10,0,0,8,0,8,1.0,1,0,0,0,1,0.0
CleanUp10.json,CleanUp,10,0,1,9,0,9,1.0,1,0,0,0,1,0.0
CleanUp10.json,CleanUp,10,0,2,8,0,8,1.0,0,0,0,0,0,1.0
CleanUp2.json,CleanUp,2,0,0,10,0,10,1.0,0,0,1,1,2,0.0
CleanUp2.json,CleanUp,2,0,1,8,0,8,1.0,1,0,0,1,2,0.0
CleanUp2.json,CleanUp,2,0,2,8,0,8,1.0,0,1,1,1,3,0.0
CleanUp3.json,CleanUp,3,0,0,8,0,8,1.0,1,0,0,0,1,0.0
CleanUp3.json,CleanUp,3,0,1,7,1,8,0.875,1,0,0,0,1,-0.125
CleanUp3.json,CleanUp,3,0,2,8,0,8,1.0,0,0,0,0,0,1.0
CleanUp4.json,CleanUp,4,0,0,8,0,8,1.0,1,0,1,1,3,0.0
CleanUp4.json,CleanUp,4,0,1,8,0,8,1.0,1,0,0,0,1,0.0
CleanUp4.json,CleanUp,4,0,2,7,1,8,0.875,0,0,1,1,2,-0.125
CleanUp5.json,CleanUp,5,0,0,11,0,11,1.0,1,1,0,0,2,0.0
CleanUp5.json,CleanUp,5,0,1,8,0,8,1.0,0,0,0,0,0,1.0
CleanUp5.json,CleanUp,5,0,2,8,0,8,1.0,1,0,0,0,1,0.0
CleanUp6.json,CleanUp,6,0,0,8,0,8,1.0,1,1,1,1,4,0.0
CleanUp6.json,CleanUp,6,0,1,8,0,8,1.0,0,0,0,0,0,1.0
CleanUp6.json,CleanUp,6,0,2,7,1,8,0.875,0,0,0,0,0,0.875
CleanUp7.json,CleanUp,7,0,0,8,0,8,1.0,0,0,0,0,0,1.0
CleanUp7.json,CleanUp,7,0,1,11,1,12,0.9167,0,0,0,0,0,0.9167
CleanUp7.json,CleanUp,7,0,2,7,1,8,0.875,0,0,0,0,0,0.875
CleanUp8.json,CleanUp,8,0,0,8,0,8,1.0,1,0,0,1,2,0.0
CleanUp8.json,CleanUp,8,0,1,8,0,8,1.0,1,0,0,0,1,0.0
CleanUp8.json,CleanUp,8,0,2,9,0,9,1.0,0,0,0,0,0,1.0
CleanUp9.json,CleanUp,9,0,0,10,0,10,1.0,1,0,0,0,1,0.0
CleanUp9.json,CleanUp,9,0,1,8,1,9,0.8889,1,0,0,0,1,-0.1111
CleanUp9.json,CleanUp,9,0,2,8,0,8,1.0,0,0,0,0,0,1.0
CleanUpMinimal.json,CleanUp,,1,0,20,1,21,0.9524,1,1,0,0,2,-0.0476
CleanUpMinimal.json,CleanUp,,1,1,17,1,18,0.9444,0,0,0,0,0,0.9444
CleanUpMinimal.json,CleanUp,,1,2,22,0,22,1.0,0,0,0,0,0,1.0
CompleteShape1.json,CompleteShape,1,0,0,8,0,8,1.0,0,0,1,1,2,0.0
CompleteShape1.json,CompleteShape,1,0,1,7,1,8,0.875,1,0,0,0,1,-0.125
CompleteShape1.json,CompleteShape,1,0,2,7,1,8,0.875,0,0,1,1,2,-0.125
CompleteShape10.json,CompleteShape,10,0,0,9,0,9,1.0,1,1,0,0,2,0.0
CompleteShape10.json,CompleteShape,10,0,1,10,0,10,1.0,1,1,0,0,2,0.0
CompleteShape10.json,CompleteShape,10,0,2,8,0,8,1.0,0,0,0,0,0,1.0
CompleteShape2.json,CompleteShape,2,0,0,6,2,8,0.75,1,0,0,0,1,-0.25
CompleteShape2.json,CompleteShape,2,0,1,7,1,8,0.875,1,0,1,1,3,-0.125
CompleteShape2.json,CompleteShape,2,0,2,11,3,14,0.7857,0,0,1,1,2,-0.2143
