name,type,frameType,race,banlist_info.ban_tcg,atk,def,level,attribute,views,upvotes,downvotes,net_votes
???,Spell Card,spell,Normal,,,,,,0,0,0,0
"""A Case for K9""",Spell Card,spell,Continuous,Limited,,,,,423841,0,0,0
"""A"" Cell Breeding Device",Spell Card,spell,Continuous,,,,,,348576,118,110,8
"""A"" Cell Incubator",Spell Card,spell,Continuous,,,,,,243695,25,20,5
"""A"" Cell Recombination Device",Spell Card,spell,Quick-Play,,,,,,250383,19,15,4
"""A"" Cell Scatter Burst",Spell Card,spell,Quick-Play,,,,,,196430,12,4,8
"""Infernoble Arms - Almace""",Spell Card,spell,Equip,,,,,,96345,0,0,0
"""Infernoble Arms - Durendal""",Spell Card,spell,Equip,,,,,,608577,10,12,-2
"""Infernoble Arms - Hauteclere""",Spell Card,spell,Equip,,,,,,103056,3,4,-1
"""Infernoble Arms - Joyeuse""",Spell Card,spell,Equip,,,,,,146341,3,5,-2
1st Movement Solo,Spell Card,spell,Normal,,,,,,375847,14,5,9
3-Hump Lacooda,Effect Monster,effect,Beast,,500.0,1500.0,3.0,EARTH,227170,23,10,13
4-Starred Ladybug of Doom,Flip Effect Monster,effect,Insect,,800.0,1200.0,3.0,WIND,557737,19,9,10
7,Spell Card,spell,Continuous,,,,,,82972,12,3,9
7 Colored Fish,Normal Monster,normal,Fish,,1800.0,800.0,4.0,WATER,523426,26,6,20
7 Completed,Spell Card,spell,Equip,,,,,,332700,10,4,6
8-Claws Scorpion,Effect Monster,effect,Insect,,300.0,200.0,2.0,DARK,198622,12,10,2
"A Bao A Qu, the Lightless Shadow",Link Monster,link,Fiend,,2800.0,,,DARK,473666,0,0,0
A Cat of Ill Omen,Flip Effect Monster,effect,Beast,,500.0,300.0,2.0,DARK,331152,16,2,14
A Deal with Dark Ruler,Spell Card,spell,Quick-Play,,,,,,201099,8,8,0
A Feather of the Phoenix,Spell Card,spell,Normal,,,,,,226265,15,7,8
A Feint Plan,Trap Card,trap,Normal,,,,,,167322,30,8,22
A Hero Emerges,Trap Card,trap,Normal,,,,,,271328,11,9,2
A Hero Lives,Spell Card,spell,Normal,,,,,,899616,13,12,1
A Legendary Ocean,Spell Card,spell,Field,,,,,,519702,27,8,19
A Major Upset,Trap Card,trap,Normal,,,,,,65411,5,1,4
A Man with Wdjat,Effect Monster,effect,Spellcaster,,1600.0,1600.0,4.0,DARK,158154,5,5,0
A Rival Appears!,Trap Card,trap,Normal,,,,,,103838,10,4,6
"A Shattered, Colorless Realm",Trap Card,trap,Normal,,,,,,14077,0,0,0
A Wild Monster Appears!,Spell Card,spell,Normal,,,,,,63451,14,3,11
A Wingbeat of Giant Dragon,Spell Card,spell,Normal,,,,,,320253,10,4,6
A-Assault Core,Union Effect Monster,effect,Machine,,1900.0,200.0,4.0,LIGHT,341267,12,6,6
A-Team: Trap Disposal Unit,Effect Monster,effect,Machine,,300.0,400.0,2.0,FIRE,80334,5,1,4
A-to-Z Energy Load,Trap Card,trap,Normal,,,,,,15642,0,0,0
A-to-Z-Dragon Buster Cannon,Fusion Monster,fusion,Machine,,4000.0,4000.0,10.0,LIGHT,219953,57,36,21
A.I. Challenge You,Trap Card,trap,Continuous,,,,,,28719,1,0,1
A.I. Connect,Spell Card,spell,Normal,,,,,,42715,0,0,0
A.I. Contact,Spell Card,spell,Normal,,,,,,69979,3,2,1
A.I. Love Fusion,Spell Card,spell,Normal,,,,,,87368,5,3,2
A.I. Meet You,Spell Card,spell,Normal,,,,,,177881,1,2,-1
A.I. Shadow,Trap Card,trap,Continuous,,,,,,45397,3,0,3
A.I.'s Ritual,Spell Card,spell,Ritual,,,,,,67815,6,3,3
A.I.'s Show,Trap Card,trap,Normal,,,,,,16460,0,0,0
A.I.dle Reborn,Spell Card,spell,Quick-Play,,,,,,168693,3,1,2
A.I.Q,Trap Card,trap,Continuous,,,,,,32544,2,2,0
A/D Changer,Effect Monster,effect,Warrior,,100.0,100.0,1.0,LIGHT,126056,3,1,2
Abaki,Effect Monster,effect,Fiend,,1700.0,1100.0,4.0,FIRE,65544,8,1,7
Abare Ushioni,Effect Monster,effect,Beast-Warrior,,1200.0,1200.0,4.0,EARTH,90829,6,3,3
ABC-Dragon Buster,Fusion Monster,fusion,Machine,,3000.0,2800.0,8.0,LIGHT,431349,50,28,22
Abduction,Trap Card,trap,Normal,,,,,,6500,0,0,0
Abominable Chamber of the Unchained,Trap Card,trap,Normal,,,,,,441945,4,0,4
Abominable Unchained Soul,Effect Monster,effect,Fiend,,3000.0,1500.0,8.0,DARK,434021,13,5,8
Abomination's Prison,Spell Card,spell,Normal,,,,,,428324,4,0,4
Absolute Axon Kicker,Fusion Monster,fusion,Psychic,,3400.0,2200.0,11.0,LIGHT,58092,0,0,0
Absolute Crusader,Effect Monster,effect,Warrior,,1800.0,1200.0,4.0,EARTH,59197,6,4,2
Absolute End,Trap Card,trap,Normal,,,,,,88830,2,3,-1
Absolute King Back Jack,Effect Monster,effect,Fiend,,0.0,0.0,1.0,DARK,560115,11,2,9
Absolute Powerforce,Spell Card,spell,Quick-Play,,,,,,42160,0,0,0
Absorb Fusion,Spell Card,spell,Normal,,,,,,100696,10,3,7
Absorbing Jar,Flip Effect Monster,effect,Rock,,600.0,500.0,3.0,EARTH,64486,6,3,3
Absorbing Kid from the Sky,Effect Monster,effect,Fairy,,1300.0,1000.0,4.0,LIGHT,83804,2,4,-2
Absorouter Dragon,Effect Monster,effect,Dragon,,1200.0,2800.0,7.0,DARK,750551,21,4,17
Abyss Actor - Comic Relief,Pendulum Effect Monster,effect_pendulum,Fiend,,1000.0,2000.0,3.0,DARK,81572,5,2,3
Abyss Actor - Curtain Raiser,Pendulum Effect Monster,effect_pendulum,Fiend,,1100.0,1000.0,4.0,DARK,369664,5,0,5
Abyss Actor - Evil Heel,Pendulum Effect Monster,effect_pendulum,Fiend,,3000.0,2000.0,8.0,DARK,65037,7,6,1
Abyss Actor - Extras,Pendulum Effect Monster,effect_pendulum,Fiend,,100.0,100.0,1.0,DARK,84093,3,2,1
Abyss Actor - Funky Comedian,Pendulum Effect Monster,effect_pendulum,Fiend,,300.0,200.0,1.0,DARK,41869,2,2,0
Abyss Actor - Hyper Director,Link Monster,link,Fiend,,800.0,,,DARK,65407,4,1,3
Abyss Actor - Leading Lady,Pendulum Effect Monster,effect_pendulum,Fiend,,1500.0,1000.0,4.0,DARK,51975,2,7,-5
Abyss Actor - Liberty Dramatist,Pendulum Effect Monster,effect_pendulum,Fiend,,1500.0,1500.0,4.0,DARK,19338,0,0,0
Abyss Actor - Mellow Madonna,Pendulum Effect Monster,effect_pendulum,Fiend,,1800.0,2500.0,7.0,DARK,93337,9,3,6
Abyss Actor - Sassy Rookie,Pendulum Effect Monster,effect_pendulum,Fiend,,1700.0,1000.0,4.0,DARK,60501,3,3,0
Abyss Actor - Super Producer,Link Monster,link,Fiend,,1600.0,,,DARK,54015,0,0,0
Abyss Actor - Superstar,Pendulum Effect Monster,effect_pendulum,Fiend,,2500.0,1800.0,7.0,DARK,86687,4,5,-1
Abyss Actor - Trendy Understudy,Pendulum Effect Monster,effect_pendulum,Fiend,,700.0,700.0,2.0,DARK,48030,1,2,-1
Abyss Actor - Twinkle Little Star,Pendulum Effect Monster,effect_pendulum,Fiend,,1000.0,1000.0,4.0,DARK,60861,6,2,4
Abyss Actor - Wild Hope,Pendulum Effect Monster,effect_pendulum,Fiend,,1600.0,1200.0,4.0,DARK,79855,1,4,-3
Abyss Actors Back Stage,Trap Card,trap,Normal,,,,,,33484,2,2,0
Abyss Actors' Curtain Call,Trap Card,trap,Normal,,,,,,30038,2,0,2
Abyss Actors' Dress Rehearsal,Spell Card,spell,Normal,,,,,,28738,0,0,0
Abyss Dweller,XYZ Monster,xyz,Sea Serpent,Forbidden,1700.0,1400.0,4.0,WATER,2446470,19,7,12
Abyss Keeper,Link Monster,link,Fish,,1500.0,,,WATER,113478,1,0,1
Abyss of the Sacred Beasts,Trap Card,trap,Continuous,,,,,,23925,0,0,0
Abyss Playhouse - Fantastic Theater,Spell Card,spell,Field,,,,,,73636,6,0,6
Abyss Prop - Wild Wagon,Spell Card,spell,Continuous,,,,,,31547,1,2,-1
Abyss Script - Abysstainment,Spell Card,spell,Continuous,,,,,,59567,5,0,5
Abyss Script - Dramatic Story,Spell Card,spell,Normal,,,,,,22590,0,0,0
Abyss Script - Fantasy Magic,Spell Card,spell,Normal,,,,,,27899,2,3,-1
Abyss Script - Fire Dragon's Lair,Spell Card,spell,Normal,,,,,,44453,4,2,2
Abyss Script - Opening Ceremony,Spell Card,spell,Normal,,,,,,54113,2,4,-2
Abyss Script - Rise of the Abyss King,Spell Card,spell,Normal,,,,,,71777,5,2,3
Abyss Script - Romantic Terror,Spell Card,spell,Quick-Play,,,,,,31921,1,0,1
Abyss Shark,Effect Monster,effect,Fish,,1200.0,700.0,5.0,WATER,318396,5,0,5
Abyss Soldier,Effect Monster,effect,Aqua,,1800.0,1300.0,4.0,WATER,246386,12,5,7
Abyss Stungray,Trap Card,trap,Continuous,,,,,,111239,3,0,3
Abyss Warrior,Effect Monster,effect,Aqua,,1800.0,1300.0,4.0,WATER,40723,3,0,3
Abyss-scale of Cetus,Spell Card,spell,Equip,,,,,,52024,2,4,-2
Abyss-scale of the Kraken,Spell Card,spell,Equip,,,,,,61918,3,1,2
Abyss-scale of the Mizuchi,Spell Card,spell,Equip,,,,,,118656,3,2,1
Abyss-scorn,Trap Card,trap,Normal,,,,,,37448,6,0,6
Abyss-sphere,Trap Card,trap,Continuous,,,,,,53432,1,0,1
Abyss-squall,Trap Card,trap,Normal,,,,,,36492,1,1,0
Abyss-steam,Trap Card,trap,Normal,,,,,,23335,0,0,0
Abyss-sting Triaina,Spell Card,spell,Equip,,,,,,64356,0,0,0
Abyss-strom,Trap Card,trap,Normal,,,,,,45113,2,0,2
Abyssal Designator,Spell Card,spell,Normal,,,,,,103217,4,0,4
Abyssal Kingshark,Effect Monster,effect,Fish,,1700.0,600.0,4.0,WATER,53146,5,0,5
"Abyssrhine, the Atlantean Spirit",Effect Monster,effect,Aqua,,1600.0,1600.0,3.0,WATER,296957,0,0,0
"Abysstrite, the Atlantean Spirit",XYZ Monster,xyz,Sea Serpent,,2100.0,2800.0,7.0,WATER,113376,0,0,0
Accel Synchro Stardust Dragon,Synchro Monster,synchro,Dragon,,2500.0,2000.0,8.0,WIND,661049,7,0,7
Accel Synchron,Synchro Tuner Monster,synchro,Machine,,500.0,2100.0,5.0,DARK,536766,20,8,12
Accellight,Spell Card,spell,Normal,,,,,,162659,2,2,0
Accesscode Talker,Link Monster,link,Cyberse,,2300.0,,,DARK,4638581,67,6,61
Accumulated Fortune,Trap Card,trap,Normal,,,,,,139684,7,0,7
Ace★Spades Speculation,Fusion Monster,fusion,Warrior,,2500.0,2500.0,7.0,LIGHT,32812,0,0,0
Achacha Archer,Effect Monster,effect,Warrior,,1200.0,600.0,3.0,FIRE,70224,5,4,1
Achacha Chanbara,Effect Monster,effect,Warrior,,1400.0,400.0,3.0,FIRE,32065,4,0,4
Achichi @Ignister,Effect Monster,effect,Cyberse,,800.0,800.0,2.0,FIRE,216281,12,4,8
Acid Rain,Spell Card,spell,Normal,,,,,,32138,3,1,2
Acid Trap Hole,Trap Card,trap,Normal,,,,,,171668,17,2,15
Acidic Downpour,Spell Card,spell,Field,,,,,,38089,1,0,1
Acorno,Effect Monster,effect,Plant,,200.0,400.0,1.0,EARTH,43312,3,2,1
Acrobat Monkey,Normal Monster,normal,Machine,,1000.0,1800.0,3.0,EARTH,68828,4,2,2
Acrobatic Magician,Pendulum Effect Monster,effect_pendulum,Spellcaster,,800.0,2300.0,5.0,DARK,51414,4,1,3
Action Magic - Double Banking,Spell Card,spell,Quick-Play,,,,,,37605,1,1,0
Action Magic - Full Turn,Spell Card,spell,Quick-Play,,,,,,50166,3,2,1
Ad Libitum of Despia,Effect Monster,effect,Fairy,,1500.0,2000.0,8.0,DARK,460941,4,0,4
Adamancipator Analyzer,Tuner Monster,effect,Rock,,1500.0,700.0,4.0,EARTH,408986,11,8,3
Adamancipator Crystal - Dragite,Effect Monster,effect,Rock,,0.0,2200.0,4.0,WATER,201888,5,3,2
Adamancipator Crystal - Leonite,Effect Monster,effect,Rock,,0.0,2200.0,4.0,FIRE,95234,2,1,1
Adamancipator Crystal - Raptite,Effect Monster,effect,Rock,,0.0,2200.0,4.0,WIND,95412,2,1,1
Adamancipator Friends,Spell Card,spell,Normal,,,,,,70829,3,0,3
Adamancipator Laputite,Spell Card,spell,Field,,,,,,81363,2,1,1
Adamancipator Relief,Trap Card,trap,Normal,,,,,,51178,3,0,3
Adamancipator Researcher,Tuner Monster,effect,Rock,,100.0,2100.0,2.0,EARTH,523021,14,3,11
Adamancipator Resonance,Trap Card,trap,Counter,,,,,,55419,2,2,0
Adamancipator Risen - Dragite,Synchro Monster,synchro,Rock,,3000.0,2200.0,8.0,WATER,1038185,14,2,12
Adamancipator Risen - Leonite,Synchro Monster,synchro,Rock,,2400.0,2200.0,6.0,FIRE,115369,4,4,0
Adamancipator Risen - Raptite,Synchro Monster,synchro,Rock,,2200.0,2800.0,6.0,WIND,259463,2,1,1
Adamancipator Seeker,Tuner Monster,effect,Rock,,1200.0,1000.0,2.0,EARTH,346141,6,1,5
Adamancipator Signs,Spell Card,spell,Normal,,,,,,294922,4,2,2
Additional Mirror Level 7,Spell Card,spell,Quick-Play,,,,,,18674,0,0,0
Adhesion Trap Hole,Trap Card,trap,Normal,,,,,,245725,3,0,3
Adhesive Explosive,Effect Monster,effect,Machine,,1000.0,1000.0,3.0,WIND,67537,4,1,3
"Adreus, Keeper of Armageddon",XYZ Monster,xyz,Fiend,,2600.0,1700.0,5.0,DARK,215641,29,2,27
Adularia of the June Moon,Effect Monster,effect,Spellcaster,,1000.0,1000.0,5.0,WATER,34864,0,0,0
Advance Draw,Spell Card,spell,Normal,,,,,,207592,6,3,3
Advance Force,Spell Card,spell,Continuous,,,,,,42386,3,0,3
Advance Zone,Spell Card,spell,Continuous,,,,,,33580,5,2,3
Advanced Crystal Beast Amber Mammoth,Effect Monster,effect,Beast,,1700.0,1600.0,4.0,EARTH,28235,0,0,0
Advanced Crystal Beast Amethyst Cat,Effect Monster,effect,Beast,,1200.0,400.0,3.0,EARTH,26914,0,0,0
Advanced Crystal Beast Cobalt Eagle,Effect Monster,effect,Winged Beast,,1400.0,800.0,4.0,WIND,33341,0,0,0
Advanced Crystal Beast Emerald Tortoise,Effect Monster,effect,Aqua,,600.0,2000.0,3.0,WATER,26439,0,1,-1
Advanced Crystal Beast Ruby Carbuncle,Effect Monster,effect,Fairy,,300.0,300.0,3.0,LIGHT,36281,0,0,0
Advanced Crystal Beast Sapphire Pegasus,Effect Monster,effect,Beast,,1800.0,1200.0,4.0,WIND,51356,0,0,0
Advanced Crystal Beast Topaz Tiger,Effect Monster,effect,Beast,,1600.0,1000.0,4.0,EARTH,25109,0,0,0
Advanced Dark,Spell Card,spell,Field,,,,,,107957,9,4,5
Advanced Heraldry Art,Spell Card,spell,Normal,,,,,,84680,22,0,22
Advanced Ritual Art,Spell Card,spell,Ritual,,,,,,794590,18,5,13
Aegaion the Sea Castrum,XYZ Monster,xyz,Machine,,-1.0,3000.0,8.0,WATER,120478,13,0,13
Aegis of Gaia,Trap Card,trap,Continuous,,,,,,50333,6,3,3
Aegis of the Ocean Dragon Lord,Trap Card,trap,Normal,,,,,,73931,2,3,-1
Aerial Eater,Fusion Monster,fusion,Fiend,,2100.0,2600.0,6.0,WIND,317339,0,0,0
Aerial Recharge,Trap Card,trap,Continuous,,,,,,40268,1,0,1
Aeropixthree,Tuner Monster,effect,Fairy,,200.0,200.0,1.0,WIND,19795,4,1,3
"Aether, the Empowering Dragon",Effect Monster,effect,Dragon,,2300.0,1600.0,6.0,LIGHT,32347,3,1,2
"Aether, the Evil Empowering Dragon",Pendulum Effect Monster,effect_pendulum,Dragon,,2300.0,1600.0,6.0,DARK,90522,8,6,2
After the Storm,Spell Card,spell,Normal,,,,,,26043,2,0,2
After the Struggle,Spell Card,spell,Normal,,,,,,108942,3,1,2
Afterglow,Spell Card,spell,Normal,,,,,,17288,3,0,3
Against the Wind,Spell Card,spell,Normal,,,,,,58740,6,4,2
Agave Dragon,Link Monster,link,Wyrm,,3000.0,,,EARTH,186551,19,5,14
Ages of Stars and Frost,Spell Card,spell,Quick-Play,,,,,,15908,0,0,0
Agido,Effect Monster,effect,Fairy,,1500.0,1300.0,4.0,EARTH,126917,3,0,3
Agido the Ancient Sentinel,Effect Monster,effect,Fairy,Forbidden,1500.0,1300.0,4.0,EARTH,339488,0,0,0
Agnimal Candle,Tuner Monster,effect,Pyro,,1700.0,0.0,4.0,FIRE,64067,0,0,0
"Ahrima, the Wicked Warden",Effect Monster,effect,Fiend,,1700.0,0.0,4.0,DARK,545572,12,2,10
Aileron,Effect Monster,effect,Machine,,0.0,0.0,1.0,WIND,25543,1,0,1
Air Armor Ninja,Effect Monster,effect,Warrior,,1400.0,1400.0,4.0,WIND,43999,1,2,-1
Air Cracking Storm,Spell Card,spell,Equip,,,,,,35309,2,0,2
Airknight Parshath,Effect Monster,effect,Fairy,,1900.0,1400.0,5.0,LIGHT,354142,19,4,15
Airorca,Effect Monster,effect,Sea Serpent,,1400.0,300.0,3.0,WIND,44247,4,0,4
Aitsu,Normal Monster,normal,Fairy,,100.0,100.0,5.0,FIRE,86947,5,2,3
"Aiwass, Divine Spirit of the Law",Effect Monster,effect,Fiend,,2000.0,2800.0,8.0,WIND,116891,0,0,0
"Aiwass, the Magistus Spell Spirit",Fusion Monster,fusion,Fiend,,2000.0,2800.0,8.0,WIND,259531,0,1,-1
Aiza the Dragoness of Deranged Devotion,Effect Monster,effect,Dragon,,1500.0,0.0,4.0,FIRE,24242,0,0,0
Akashic Magician,Link Monster,link,Spellcaster,,1700.0,,,DARK,437112,13,4,9
Akasuna the Battle Ashtra,Effect Monster,effect,Fiend,,3000.0,300.0,8.0,FIRE,22304,0,0,0
"Akz, the Pumer",Effect Monster,effect,Beast-Warrior,,1500.0,1000.0,6.0,EARTH,23092,2,1,1
Al-Lumi'raj,Tuner Monster,effect,Wyrm,,1600.0,1000.0,3.0,WIND,55679,11,0,11
Alba System Dogmatikalamity,Fusion Monster,fusion,Dragon,,4500.0,2500.0,8.0,DARK,37858,0,0,0
Alba-Lenatus the Abyss Dragon,Fusion Monster,fusion,Dragon,,2500.0,2500.0,8.0,DARK,593049,6,0,6
Albaz the Ashen,Effect Monster,effect,Dragon,,1800.0,0.0,4.0,DARK,59640,6,0,6
Albion the Branded Dragon,Fusion Monster,fusion,Dragon,,2500.0,2000.0,8.0,DARK,2390185,7,3,4
Albion the Sanctifire Dragon,Fusion Monster,fusion,Dragon,,3000.0,2500.0,8.0,LIGHT,519592,0,0,0
Albion the Shrouded Dragon,Effect Monster,effect,Dragon,,2500.0,2000.0,8.0,DARK,990065,5,0,5
Alchemic Magician,XYZ Monster,xyz,Spellcaster,,1500.0,1500.0,4.0,DARK,125688,26,4,22
Alchemist of Black Spells,Effect Monster,effect,Spellcaster,,1200.0,1800.0,4.0,WIND,45360,5,2,3
Alchemy Cycle,Trap Card,trap,Normal,,,,,,30010,1,0,1
"Alector, Sovereign of Birds",Effect Monster,effect,Winged Beast,,2400.0,2000.0,6.0,WIND,51316,10,0,10
"Aleirtt, the Ogdoadic Dark",Effect Monster,effect,Reptile,,2000.0,800.0,8.0,DARK,99872,4,0,4
Aleister the Invoker,Effect Monster,effect,Spellcaster,,1000.0,1800.0,4.0,DARK,1383071,37,4,33
